ReportingMonth,EntryExitanything,UpperLower,TOTAL VEHICLES,KeyValue
2017-05-01T00:00:00,Exit,Lower Level,2055841,2017-05-01|Exit|Lower Level
2017-05-01T00:00:00,Exit,Upper Level,1051168,2017-05-01|Exit|Upper Level
2017-06-01T00:00:00,Entry,Lower Level,1477700,2017-06-01|Entry|Lower Level
2017-06-01T00:00:00,Entry,Upper Level,1638834,2017-06-01|Entry|Upper Level
2017-06-01T00:00:00,Exit,Lower Level,2209249,2017-06-01|Exit|Lower Level
2017-06-01T00:00:00,Exit,Upper Level,1061983,2017-06-01|Exit|Upper Level
2017-07-01T00:00:00,Entry,Lower Level,1485377,2017-07-01|Entry|Lower Level
2017-07-01T00:00:00,Entry,Upper Level,1640222,2017-07-01|Entry|Upper Level
2017-07-01T00:00:00,Exit,Lower Level,2222383,2017-07-01|Exit|Lower Level
2017-07-01T00:00:00,Exit,Upper Level,1064564,2017-07-01|Exit|Upper Level
2017-08-01T00:00:00,Entry,Lower Level,1476043,2017-08-01|Entry|Lower Level
2017-08-01T00:00:00,Entry,Upper Level,1621505,2017-08-01|Entry|Upper Level
2017-08-01T00:00:00,Exit,Lower Level,2220530,2017-08-01|Exit|Lower Level
2017-08-01T00:00:00,Exit,Upper Level,1049534,2017-08-01|Exit|Upper Level
2017-09-01T00:00:00,Entry,Lower Level,1258965,2017-09-01|Entry|Lower Level
2017-09-01T00:00:00,Entry,Upper Level,1475089,2017-09-01|Entry|Upper Level
2017-09-01T00:00:00,Exit,Lower Level,1912965,2017-09-01|Exit|Lower Level
2017-09-01T00:00:00,Exit,Upper Level,973225,2017-09-01|Exit|Upper Level
2017-10-01T00:00:00,Entry,Lower Level,1321413,2017-10-01|Entry|Lower Level
2017-10-01T00:00:00,Entry,Upper Level,1529564,2017-10-01|Entry|Upper Level
2017-10-01T00:00:00,Exit,Lower Level,1993712,2017-10-01|Exit|Lower Level
2017-10-01T00:00:00,Exit,Upper Level,1004726,2017-10-01|Exit|Upper Level
2017-11-01T00:00:00,Entry,Lower Level,1323601,2017-11-01|Entry|Lower Level
2017-11-01T00:00:00,Entry,Upper Level,1507728,2017-11-01|Entry|Upper Level
2017-11-01T00:00:00,Exit,Lower Level,1974031,2017-11-01|Exit|Lower Level
2017-11-01T00:00:00,Exit,Upper Level,1001973,2017-11-01|Exit|Upper Level
2018-01-01T00:00:00,Entry,Lower Level,1264344,2018-01-01|Entry|Lower Level
2018-01-01T00:00:00,Entry,Upper Level,1501903,2018-01-01|Entry|Upper Level
2018-01-01T00:00:00,Exit,Lower Level,1929900,2018-01-01|Exit|Lower Level
2018-01-01T00:00:00,Exit,Upper Level,994130,2018-01-01|Exit|Upper Level
2018-03-01T00:00:00,Entry,Lower Level,1342159,2018-03-01|Entry|Lower Level
2018-03-01T00:00:00,Entry,Upper Level,1559233,2018-03-01|Entry|Upper Level
2018-03-01T00:00:00,Exit,Lower Level,1934828,2018-03-01|Exit|Lower Level
2018-03-01T00:00:00,Exit,Upper Level,1039613,2018-03-01|Exit|Upper Level
2018-04-01T00:00:00,Entry,Lower Level,1329798,2018-04-01|Entry|Lower Level
2018-04-01T00:00:00,Entry,Upper Level,1517056,2018-04-01|Entry|Upper Level
2018-04-01T00:00:00,Exit,Lower Level,1917622,2018-04-01|Exit|Lower Level
2018-04-01T00:00:00,Exit,Upper Level,994651,2018-04-01|Exit|Upper Level
2018-05-01T00:00:00,Entry,Lower Level,1439131,2018-05-01|Entry|Lower Level
2018-05-01T00:00:00,Entry,Upper Level,1601307,2018-05-01|Entry|Upper Level
2018-05-01T00:00:00,Exit,Lower Level,2059938,2018-05-01|Exit|Lower Level
2018-05-01T00:00:00,Exit,Upper Level,1044608,2018-05-01|Exit|Upper Level
2018-06-01T00:00:00,Entry,Lower Level,1489789,2018-06-01|Entry|Lower Level
2018-06-01T00:00:00,Entry,Upper Level,1583162,2018-06-01|Entry|Upper Level
2018-06-01T00:00:00,Exit,Lower Level,2118575,2018-06-01|Exit|Lower Level
2018-06-01T00:00:00,Exit,Upper Level,1015764,2018-06-01|Exit|Upper Level
2018-08-01T00:00:00,Entry,Lower Level,1505839,2018-08-01|Entry|Lower Level
2018-08-01T00:00:00,Entry,Upper Level,1626081,2018-08-01|Entry|Upper Level
2018-08-01T00:00:00,Exit,Lower Level,2134559,2018-08-01|Exit|Lower Level
2018-08-01T00:00:00,Exit,Upper Level,1058666,2018-08-01|Exit|Upper Level
2018-09-01T00:00:00,Entry,Lower Level,1304587,2018-09-01|Entry|Lower Level
2018-09-01T00:00:00,Entry,Upper Level,1527765,2018-09-01|Entry|Upper Level
2018-09-01T00:00:00,Exit,Lower Level,1874001,2018-09-01|Exit|Lower Level
2018-09-01T00:00:00,Exit,Upper Level,1025624,2018-09-01|Exit|Upper Level
2018-11-01T00:00:00,Entry,Lower Level,1385810,2018-11-01|Entry|Lower Level
